epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,741.449,1.37096,1.24988,1.04262,0.78321,0.76492,0.82252,0.53884,1.34259,0.8199,1.01118,0.00999389,0.0033313,0.00999389,0.0033313,0.00999389,0.0033313,0.00999389,0.0033313
2,1414.05,1.28766,0.81758,1.01339,0.80187,0.75479,0.83486,0.54886,1.34545,0.75971,1.0176,0.0193341,0.0064447,0.0193341,0.0064447,0.0193341,0.0064447,0.0193341,0.0064447
3,2063.23,1.29345,0.77534,1.02213,0.79431,0.78287,0.83708,0.54241,1.33778,0.76682,1.02197,0.0280143,0.0093381,0.0280143,0.0093381,0.0280143,0.0093381,0.0280143,0.0093381
4,2678.82,1.27119,0.7371,1.01824,0.81428,0.77887,0.85569,0.5694,1.29768,0.69669,1.01028,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,3278.13,1.23229,0.69333,1.00545,0.81915,0.80367,0.86748,0.58309,1.27302,0.67059,0.99889,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,3877.68,1.20724,0.66499,0.99657,0.81062,0.81721,0.87081,0.58899,1.25989,0.65222,0.99425,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,4471.95,1.19266,0.64994,0.98988,0.84688,0.82767,0.89168,0.60921,1.2448,0.62355,0.98749,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,5073.27,1.17266,0.63177,0.98431,0.83389,0.82932,0.89368,0.61257,1.24487,0.62005,0.99173,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,5666.62,1.1645,0.62252,0.98101,0.83969,0.84587,0.89518,0.61501,1.23107,0.60855,0.98387,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,6263.29,1.15294,0.61184,0.97797,0.86299,0.85567,0.9093,0.63093,1.22404,0.59524,0.98074,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,6850.02,1.14297,0.6026,0.97443,0.85382,0.83811,0.90159,0.62664,1.21917,0.59014,0.98012,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,7440.63,1.1347,0.5951,0.97153,0.84404,0.84843,0.90423,0.63013,1.21329,0.58744,0.97702,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,8022.2,1.13077,0.59051,0.96977,0.84913,0.86345,0.90916,0.63284,1.20865,0.57972,0.97717,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,8608.86,1.12852,0.58673,0.96907,0.85694,0.86595,0.91371,0.63841,1.20094,0.57141,0.97381,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,9198.94,1.11724,0.57824,0.96448,0.86053,0.86084,0.91464,0.64117,1.19703,0.567,0.97229,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,9791.36,1.11016,0.57136,0.96239,0.86801,0.85997,0.91684,0.64564,1.19594,0.56494,0.9715,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,10375.9,1.10516,0.56808,0.96035,0.84998,0.86395,0.91307,0.644,1.18567,0.56287,0.96808,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,10963.6,1.09815,0.55982,0.95955,0.85947,0.87462,0.91752,0.6487,1.18126,0.55629,0.96796,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,11553,1.09346,0.55616,0.95679,0.86414,0.86689,0.91796,0.64948,1.18109,0.55531,0.96766,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,12146.3,1.09014,0.5538,0.95467,0.87039,0.87102,0.92124,0.65196,1.18016,0.55067,0.96609,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,12722.7,1.06224,0.52053,0.9425,0.86237,0.86653,0.91679,0.64989,1.17766,0.55231,0.96628,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
